~=~=~=MPPT Charge Controller=~=~=~
Performing VI curve
minimum current : 0.000
maximum current : 2.000
step size : 0.004
Length is : 499
This will take aprox 99 seconds
Current limit set to : 0.000
Please, restart the electronic load
The test will initiate in 5 seconds
-0.010 , 0.000 , -0.001 , 10.070,0.1332,1.341,0.200,0.172, 9.844306E+00, 2.197238E-01 , -3.100147E-01 , -1.859913E+00 
-0.086 , 0.000 , -0.012 , 9.984,0.1332,1.330,0.244,0.176, 9.796871E+00, 2.237525E-01 , -3.183514E-01 , -1.909927E+00 
-0.048 , 0.000 , -0.006 , 9.936,0.1332,1.323,0.222,0.180, 9.727502E+00, 2.311434E-01 , -3.264922E-01 , -1.958768E+00 
-0.048 , 0.000 , -0.006 , 9.888,0.1332,1.317,0.266,0.184, 9.691264E+00, 2.344957E-01 , -3.318144E-01 , -1.990698E+00 
0.000 , 0.011 , 0.110 , 9.888,0.1443,1.427,0.244,0.188, 9.615219E+00, 2.421764E-01 , -3.379232E-01 , -2.027346E+00 
-0.067 , 0.011 , 0.099 , 9.821,0.1554,1.526,0.266,0.192, 9.581048E+00, 2.458963E-01 , -3.460672E-01 , -2.076207E+00 
-0.029 , 0.000 , -0.004 , 9.792,0.1554,1.522,0.266,0.196, 9.502776E+00, 2.517175E-01 , -3.513178E-01 , -2.107708E+00 
-0.096 , 0.000 , -0.015 , 9.696,0.1554,1.507,0.266,0.200, 9.467188E+00, 2.585906E-01 , -3.582419E-01 , -2.149249E+00 
0.000 , 0.000 , 0.000 , 9.696,0.1554,1.507,0.266,0.204, 9.391490E+00, 2.612061E-01 , -3.653971E-01 , -2.192175E+00 
-0.096 , 0.000 , -0.015 , 9.600,0.1554,1.492,0.266,0.208, 9.352943E+00, 2.724489E-01 , -3.781619E-01 , -2.268757E+00 
0.000 , 0.000 , 0.000 , 9.600,0.1554,1.492,0.266,0.212, 9.211837E+00, 2.791709E-01 , -3.741286E-01 , -2.244561E+00 
-0.096 , 0.022 , 0.196 , 9.504,0.1776,1.688,0.289,0.216, 9.169278E+00, 2.872846E-01 , -3.793453E-01 , -2.275855E+00 
0.000 , 0.000 , 0.000 , 9.504,0.1776,1.688,0.289,0.220, 9.094499E+00, 2.912717E-01 , -3.862381E-01 , -2.317208E+00 
