~=~=~=MPPT Charge Controller=~=~=~
Could not disable Reverse Turbo Mode
Could not write bit
Could not enable Input Current Limit Control
Could not enable Autocharging
Could not enable Auto charging
Could not disable two level adapter control
Performing VI curve
minimum current : 0.000
maximum current : 2.000
step size : 0.004
Length is : 499
This will take aprox 99 seconds
0.000 , 0.000 , 0.000 , 9.312,0.1776,1.654,0.311,0.228
0.000 , 0.000 , 0.000 , 9.312,0.1776,1.654,0.289,0.232
-0.096 , 0.022 , -0.002 , 9.216,0.1998,1.841,0.289,0.228
0.096 , -0.022 , -0.002 , 9.312,0.1776,1.654,0.266,0.224
0.000 , 0.000 , 0.000 , 9.312,0.1776,1.654,0.289,0.228
0.000 , 0.000 , 0.000 , 9.312,0.1776,1.654,0.311,0.232
-0.096 , 0.022 , -0.002 , 9.216,0.1998,1.841,0.289,0.228
0.096 , -0.022 , -0.002 , 9.312,0.1776,1.654,0.289,0.224
0.000 , 0.000 , 0.000 , 9.312,0.1776,1.654,0.289,0.228
0.000 , 0.000 , 0.000 , 9.312,0.1776,1.654,0.311,0.232
-0.096 , 0.022 , -0.002 , 9.216,0.1998,1.841,0.289,0.228
0.096 , -0.022 , -0.002 , 9.312,0.1776,1.654,0.289,0.224
0.000 , 0.000 , 0.000 , 9.312,0.1776,1.654,0.289,0.228
0.000 , 0.000 , 0.000 , 9.312,0.1776,1.654,0.289,0.232
-0.096 , 0.022 , -0.002 , 9.216,0.1998,1.841,0.289,0.228
0.096 , -0.022 , -0.002 , 9.312,0.1776,1.654,0.289,0.224
0.000 , 0.000 , 0.000 , 9.312,0.1776,1.654,0.289,0.228
0.000 , 0.000 , 0.000 , 9.312,0.1776,1.654,0.311,0.232
0.000 , 0.022 , 0.000 , 9.312,0.1998,1.861,0.289,0.236
-0.096 , 0.000 , 0.000 , 9.216,0.1998,1.841,0.311,0.240
0.000 , 0.000 , 0.000 , 9.216,0.1998,1.841,0.311,0.244
-0.096 , 0.000 , 0.000 , 9.120,0.1998,1.822,0.333,0.248
0.000 , 0.000 , 0.000 , 9.120,0.1998,1.822,0.333,0.252
-0.096 , 0.000 , 0.000 , 9.024,0.1998,1.803,0.333,0.256
0.000 , 0.022 , 0.000 , 9.024,0.2220,2.003,0.289,0.260
-0.096 , 0.000 , 0.000 , 8.928,0.2220,1.982,0.311,0.264
-0.096 , 0.000 , 0.000 , 8.832,0.2220,1.961,0.333,0.268
0.000 , 0.000 , 0.000 , 8.832,0.2220,1.961,0.355,0.272
-0.096 , 0.022 , -0.002 , 8.736,0.2442,2.133,0.311,0.268
0.096 , -0.022 , -0.002 , 8.832,0.2220,1.961,0.333,0.264
0.096 , 0.000 , 0.000 , 8.928,0.2220,1.982,0.333,0.268
-0.096 , 0.000 , 0.000 , 8.832,0.2220,1.961,0.355,0.272
-0.096 , 0.000 , 0.000 , 8.736,0.2220,1.939,0.333,0.276
0.000 , 0.022 , 0.000 , 8.736,0.2442,2.133,0.333,0.280
0.000 , 0.000 , 0.000 , 8.736,0.2442,2.133,0.355,0.284
-0.096 , 0.000 , 0.000 , 8.640,0.2442,2.110,0.355,0.288
-0.096 , 0.000 , 0.000 , 8.544,0.2442,2.086,0.355,0.292
0.000 , 0.000 , 0.000 , 8.544,0.2442,2.086,0.377,0.296
0.000 , 0.022 , 0.000 , 8.544,0.2664,2.276,0.377,0.300
0.000 , 0.000 , 0.000 , 8.544,0.2664,2.276,0.377,0.304
-0.096 , 0.000 , 0.000 , 8.448,0.2664,2.251,0.377,0.308
0.000 , 0.000 , 0.000 , 8.448,0.2664,2.251,0.400,0.312
-0.096 , 0.000 , 0.000 , 8.352,0.2664,2.225,0.377,0.316
0.000 , 0.000 , 0.000 , 8.352,0.2664,2.225,0.377,0.320
0.000 , 0.022 , 0.000 , 8.352,0.2886,2.410,0.400,0.324
-0.192 , 0.000 , 0.000 , 8.160,0.2886,2.355,0.422,0.328
0.000 , 0.000 , 0.000 , 8.160,0.2886,2.355,0.400,0.332
0.000 , 0.000 , 0.000 , 8.160,0.2886,2.355,0.400,0.336
-0.096 , 0.000 , 0.000 , 8.064,0.2886,2.327,0.400,0.340
0.000 , 0.022 , 0.000 , 8.064,0.3108,2.506,0.400,0.344
-0.096 , 0.000 , 0.000 , 7.968,0.3108,2.476,0.400,0.348
0.000 , 0.000 , 0.000 , 7.968,0.3108,2.476,0.422,0.352
0.000 , 0.000 , 0.000 , 7.968,0.3108,2.476,0.422,0.356
-0.096 , 0.000 , 0.000 , 7.872,0.3108,2.447,0.422,0.360
0.000 , 0.022 , 0.000 , 7.872,0.3330,2.621,0.422,0.364
-0.096 , 0.000 , 0.000 , 7.776,0.3330,2.589,0.444,0.368
0.000 , 0.000 , 0.000 , 7.776,0.3330,2.589,0.422,0.372
-0.096 , 0.000 , 0.000 , 7.680,0.3330,2.557,0.422,0.376
0.000 , 0.000 , 0.000 , 7.680,0.3330,2.557,0.444,0.380
-0.096 , 0.000 , 0.000 , 7.584,0.3330,2.525,0.444,0.384
-0.096 , 0.000 , 0.000 , 7.488,0.3330,2.494,0.422,0.388
0.000 , 0.000 , 0.000 , 7.488,0.3330,2.494,0.466,0.392
0.000 , 0.022 , 0.000 , 7.488,0.3552,2.660,0.444,0.396
-0.096 , 0.000 , 0.000 , 7.392,0.3552,2.626,0.444,0.400
0.000 , 0.022 , 0.000 , 7.392,0.3774,2.790,0.444,0.404
0.000 , -0.022 , 0.000 , 7.392,0.3552,2.626,0.466,0.408
0.000 , 0.000 , 0.000 , 7.392,0.3552,2.626,0.444,0.412
-0.288 , 0.000 , 0.000 , 7.104,0.3552,2.523,0.511,0.416
-0.576 , 0.067 , -0.038 , 6.528,0.4218,2.754,0.377,0.412
0.480 , -0.022 , -0.011 , 7.008,0.3996,2.800,0.400,0.416
-0.192 , -0.089 , 0.017 , 6.816,0.3108,2.118,0.333,0.420
-0.768 , -0.022 , 0.017 , 6.048,0.2886,1.745,0.688,0.424
-0.096 , 0.000 , 0.000 , 5.952,0.2886,1.718,0.688,0.428
0.288 , 0.089 , 0.026 , 6.240,0.3774,2.355,0.422,0.432
1.824 , 0.111 , 0.202 , 8.064,0.4884,3.938,0.000,0.436
-0.960 , -0.178 , 0.170 , 7.104,0.3108,2.208,0.377,0.440
0.768 , 0.178 , 0.136 , 7.872,0.4884,3.845,0.000,0.444
0.000 , 0.000 , 0.000 , 7.872,0.4884,3.845,0.866,0.448
-0.960 , -0.089 , 0.085 , 6.912,0.3996,2.762,0.466,0.452
-0.096 , 0.000 , 0.000 , 6.816,0.3996,2.724,0.511,0.456
0.000 , 0.022 , 0.000 , 6.816,0.4218,2.875,0.511,0.460
-0.096 , 0.000 , 0.000 , 6.720,0.4218,2.834,0.488,0.464
0.000 , 0.000 , 0.000 , 6.720,0.4218,2.834,0.488,0.468
0.000 , 0.000 , 0.000 , 6.720,0.4218,2.834,0.511,0.472
-0.096 , 0.000 , 0.000 , 6.624,0.4218,2.794,0.488,0.476
0.000 , 0.022 , 0.000 , 6.624,0.4440,2.941,0.488,0.480
-0.096 , 0.000 , 0.000 , 6.528,0.4440,2.898,0.488,0.484
0.000 , 0.000 , 0.000 , 6.528,0.4440,2.898,0.488,0.488
0.000 , 0.000 , 0.000 , 6.528,0.4440,2.898,0.488,0.492
-0.672 , 0.000 , 0.000 , 5.856,0.4440,2.600,0.444,0.496
-0.096 , 0.000 , 0.000 , 5.760,0.4440,2.557,0.422,0.500
-0.576 , 0.022 , -0.013 , 5.184,0.4662,2.417,0.377,0.504
-1.248 , 0.000 , 0.000 , 3.936,0.4662,1.835,0.266,0.500
0.000 , 0.000 , 0.000 , 3.936,0.4662,1.835,0.266,0.496
0.576 , 0.000 , 0.000 , 4.512,0.4662,2.103,0.311,0.492
1.248 , -0.022 , -0.028 , 5.760,0.4440,2.557,0.422,0.496
0.000 , 0.000 , 0.000 , 5.760,0.4440,2.557,0.422,0.500
-0.672 , 0.022 , -0.015 , 5.088,0.4662,2.372,0.355,0.504
-1.152 , 0.000 , 0.000 , 3.936,0.4662,1.835,0.266,0.500
0.000 , 0.000 , 0.000 , 3.936,0.4662,1.835,0.266,0.496
0.576 , -0.022 , -0.013 , 4.512,0.4440,2.003,0.311,0.492
1.248 , 0.000 , 0.000 , 5.760,0.4440,2.557,0.444,0.496
0.000 , 0.000 , 0.000 , 5.760,0.4440,2.557,0.422,0.500
-0.672 , 0.022 , -0.015 , 5.088,0.4662,2.372,0.355,0.504
-1.152 , 0.000 , 0.000 , 3.936,0.4662,1.835,0.266,0.500
-0.096 , 0.000 , 0.000 , 3.840,0.4662,1.790,0.266,0.496
0.672 , -0.022 , -0.015 , 4.512,0.4440,2.003,0.311,0.492
